Timestamp,E_plus_445LVU_HS--o-_Avg1,E_plus_445LVU_HS--u-_Avg1,E_plus_413TU_HSS-m-_Avg1
2023-08-13 10:10:00+00:00,-8.4300132172,-8.7895657093,23.1135978699
2023-08-13 10:20:00+00:00,-8.5289275677,-8.8546247738,23.1258583069
2023-08-13 10:30:00+00:00,-8.6004537282,-8.8953259603,23.1394672394
2023-08-13 10:40:00+00:00,-8.6512389822,-8.9142699518,23.1543979645
2023-08-13 10:50:00+00:00,-8.7264236852,-8.9522688063,23.1703701019
2023-08-13 11:00:00+00:00,-8.8054332147,-9.0011924483,23.1874713898
2023-08-13 11:10:00+00:00,-8.9232176527,-9.0729403518,23.2057113647
2023-08-13 11:20:00+00:00,-8.9924664757,-9.1169074193,23.2249450684
2023-08-13 11:30:00+00:00,-9.0406094447,-9.1425402498,23.2449703217
2023-08-13 11:40:00+00:00,-9.1175310312,-9.1883181048,23.2656593323
2023-08-13 11:50:00+00:00,-9.2004901157,-9.2431683888,23.2866401672
2023-08-13 12:00:00+00:00,-9.2854632392,-9.2882579508,23.3077297211
2023-08-13 12:10:00+00:00,-9.3667177887,-9.3190967973,23.3290367126
2023-08-13 12:20:00+00:00,-9.4879066932,-9.3810655183,23.3503932953
2023-08-13 12:30:00+00:00,-9.5900499882,-9.4299522083,23.3719615936
2023-08-13 12:40:00+00:00,-9.6653778802,-9.4613546193,23.3939990997
2023-08-13 12:50:00+00:00,-9.7543144157,-9.5083057933,23.4164161682
2023-08-13 13:00:00+00:00,-9.8850146007,-9.5834627823,23.4391098022
2023-08-13 13:10:00+00:00,-9.9778729617,-9.6293745883,23.4622612
2023-08-13 13:20:00+00:00,-10.0603146872,-9.6535384683,23.4855556488
2023-08-13 13:30:00+00:00,-10.1649478092,-9.7011640628,23.50897789
2023-08-13 13:40:00+00:00,-10.2662965587,-9.7560512988,23.5324058533
2023-08-13 13:50:00+00:00,-10.3596261197,-9.7989189668,23.5554523468
2023-08-13 14:00:00+00:00,-10.4415319792,-9.8534689848,23.578294754
2023-08-13 14:10:00+00:00,-10.5188231167,-9.8943318363,23.6010799408
2023-08-13 14:20:00+00:00,-10.6062537497,-9.9345248863,23.6236000061
2023-08-13 14:30:00+00:00,-10.7160235872,-10.0014039918,23.6461009979
2023-08-13 14:40:00+00:00,-10.7638293537,-10.0118344998,23.668214798
2023-08-13 14:50:00+00:00,-10.8218947097,-10.0445719103,23.6904888153
2023-08-13 15:00:00+00:00,-10.8937858022,-10.0928996548,23.7126693726
2023-08-13 15:10:00+00:00,-10.9312164732,-10.1094184853,23.7346630096
2023-08-13 15:20:00+00:00,-10.9755761867,-10.1293602583,23.7563705444
2023-08-13 15:30:00+00:00,-11.0357248822,-10.1687587783,23.7777309418
2023-08-13 15:40:00+00:00,-11.0644526752,-10.1796974228,23.7986392975
2023-08-13 15:50:00+00:00,-11.1313733517,-10.2271197813,23.8189811707
